"Get credentials from PayPal","Get credentials from PayPal"
"Header Background Color","Header Background Color"
"Header Border Color","Header Border Color"
"Header Image URL","Header Image URL"
"IPN verification ""%s"".","IPN verification ""%s""."
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement."
"Impossible to issue a refund transaction because the capture transaction does not exist.","Impossible to issue a refund transaction because the capture transaction does not exist."
"Incl. Tax","Incl. Tax"
"Issuer Liability","Issuer Liability"
"Items in Your Shopping Cart","Items in Your Shopping Cart"
"Last Corellation ID","Last Corellation ID"
"Last Transaction ID","Last Transaction ID"
"Learn more","Learn more"
"Logos and Colors","Logos and Colors"
"Looking for PayPal? We have our own tab to the left under Sales.","Looking for PayPal? We have our own tab to the left under Sales."
"Maestro/Solo","Maestro/Solo"
"Matched (CVV2)","Matched (CVV2)"
"Matched (CVV2CSC)","Matched (CVV2CSC)"
"Matched Address only (no ZIP)","Matched Address only (no ZIP)"
"Matched Address only (no ZIP). International","Matched Address only (no ZIP). International"
"Matched Postal Code only (no Address)","Matched Postal Code only (no Address)"
"Matched five-digit ZIP only (no Address)","Matched five-digit ZIP only (no Address)"
"Matched whole nine-didgit ZIP (no Address)","Matched whole nine-didgit ZIP (no Address)"
"Merchant Liability","Merchant Liability"
"Merchant Protection Eligibility","Merchant Protection Eligibility"
"Merchant account does not have a withdrawal mechanism. Merchant must manually accept or deny this payment from your Account Overview.","Merchant account does not have a withdrawal mechanism. Merchant must manually accept or deny this payment from your Account Overview."
"Merchant account is not verified.","Merchant account is not verified."
"Merchant denied this pending payment.","Merchant denied this pending payment."
"Merchant email.","Merchant email."
"Merchant must upgrade account to Business or Premier status.","Merchant must upgrade account to Business or Premier status."
"Multi-currency issue. Merchant must manually accept or deny this payment from PayPal Account Overview.","Multi-currency issue. Merchant must manually accept or deny this payment from PayPal Account Overview."
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. Address not checked, or acquirer had no response. Service not available"
"N/A. Global Unavailable","N/A. Global Unavailable"
"N/A. International Unavailable","N/A. International Unavailable"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. Merchant has indicated that CVV2 is not present on card"
"N/A. No response","N/A. No response"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. Not allowed for MOTO (Internet/Phone) transactions"
"N/A. Not processed","N/A. Not processed"
"N/A. Retry","N/A. Retry"
"N/A. Service not Supported","N/A. Service not Supported"
"N/A. Service not available","N/A. Service not available"
"N/A. Service not supported","N/A. Service not supported"
"N/A. The merchant did not provide AVS information","N/A. The merchant did not provide AVS information"
"N/A. The merchant has not implemented CVV2 code handling","N/A. The merchant has not implemented CVV2 code handling"
"N/A. Unavailable","N/A. Unavailable"
"New Order Status","New Order Status"
"No","No"
"No Details matched","No Details matched"
"No Details matched. International","No Details matched. International"
"No Liability Shift","No Liability Shift"
"No match","No match"
"No shipping method required.","No shipping method required."
"None of the address information matched","None of the address information matched"
"Note: %s","Note: %s"
"Notified customer about creditmemo #%s.","Notified customer about creditmemo #%s."
"Notified customer about invoice #%s.","Notified customer about invoice #%s."
"Now accepting PayPal (150 X 40)","Now accepting PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Now accepting PayPal (150 X 60)"
"Order","Order"
"Otherwise payments are made on PayPal.com","Otherwise payments are made on PayPal.com"
"Page Background Color","Page Background Color"
"Page Style","Page Style"
"Part of the address information matched","Part of the address information matched"
"PayPal","PayPal"
"PayPal Checkout","PayPal Checkout"
"PayPal Express Checkout Token does not exist.","PayPal Express Checkout Token does not exist."
"PayPal Express Order Review Form","PayPal Express Order Review Form"
"PayPal IPN postback HTTP error: %s","PayPal IPN postback HTTP error: %s"
"PayPal IPN postback Validation error: %s","PayPal IPN postback Validation error: %s"
"PayPal Pro, Authorize.net, FirstData, etc.","PayPal Pro, Authorize.net, FirstData, etc."
"PayPal Website Payments Pro - Direct Payments","PayPal Website Payments Pro - Direct Payments"
"PayPal Website Payments Pro - Express Checkout","PayPal Website Payments Pro - Express Checkout"
"PayPal Website Payments Standard","PayPal Website Payments Standard"
"PayPal gateway has rejected request. %s","PayPal gateway has rejected request. %s"
"PayPal/Centinel Electronic Commerce Indicator","PayPal/Centinel Electronic Commerce Indicator"
"PayPal/Centinel Visa Payer Authentication Service Result","PayPal/Centinel Visa Payer Authentication Service Result"
"Payer Address ID","Payer Address ID"
"Payer Address Status","Payer Address Status"
"Payer Email","Payer Email"
"Payer Email: %s","Payer Email: %s"
"Payer ID","Payer ID"
"Payer Status","Payer Status"
"Payer is not identified.","Payer is not identified."
"Payment Action","Payment Action"
"Payment Applicable From","Payment Applicable From"
"Payment Method","Payment Method"
"Payment Page Style","Payment Page Style"
"Payment is being reviewed by PayPal for risk.","Payment is being reviewed by PayPal for risk."
"Payment was made to an email address that is not yet registered or confirmed.","Payment was made to an email address that is not yet registered or confirmed."
"Payments by PayPal (150 X 40)","Payments by PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Payments by PayPal (150 X 60)"
"Pending PayPal","Pending PayPal"
"Place an Order","Place an Order"
"Please contact PayPal Customer Service.","Please contact PayPal Customer Service."
"Please select a shipping method...","Please select a shipping method..."
"Price","Price"
"Pro","Pro"
"Product Name","Product Name"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Qty","Qty"
"Requested %s and configured %s merchant emails do not match.","Requested %s and configured %s merchant emails do not match."
"Review Order","Review Order"
"Sale","Sale"
"Sales","Sales"
"Sandbox Mode","Sandbox Mode"
"Sell now, set up a PayPal account later","Sell now, set up a PayPal account later"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe validation removes chargeback liability on merchant.","Severe validation removes chargeback liability on merchant."
"Shipping","Shipping"
"Shipping Address","Shipping Address"
"Shipping Information","Shipping Information"
"Shipping Method","Shipping Method"
"Shop now using (150 X 40)","Shop now using (150 X 40)"
"Shop now using (150 X 60)","Shop now using (150 X 60)"
"Shortcut","Shortcut"
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"Sort Order","Sort Order"
"Sort Order of ____","Sort Order of ____"
"Standard","Standard"
"Static","Static"
"Submitting order information...","Submitting order information..."
"Subtotal","Subtotal"
"Summary Text for Aggregated Cart","Summary Text for Aggregated Cart"
"The background color for the checkout page around the header and payment form.","The background color for the checkout page around the header and payment form."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII."
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged."
"Title","Title"
"Transfer Cart Line Items","Transfer Cart Line Items"
"Triggered Fraud Filters","Triggered Fraud Filters"
"Unable to calculate cart line item totals.","Unable to calculate cart line item totals."
"Unable to cancel Express Checkout.","Unable to cancel Express Checkout."
"Unable to communicate with the PayPal gateway.","Unable to communicate with the PayPal gateway."
"Unable to initialize Express Checkout review.","Unable to initialize Express Checkout review."
"Unable to initialize Express Checkout.","Unable to initialize Express Checkout."
"Unable to place the order.","Unable to place the order."
"Unable to process Express Checkout approval.","Unable to process Express Checkout approval."
"Unable to start Express Checkout.","Unable to start Express Checkout."
"Unable to update shipping method.","Unable to update shipping method."
"Update Shipping Method","Update Shipping Method"
"Use Proxy","Use Proxy"
"Uses store frontend name by default.","Uses store frontend name by default."
"View Demo","View Demo"
"View PayPal solutions.","View PayPal solutions."
"Visible on Shopping Cart Page","Visible on Shopping Cart Page"
"Waiting until Customer\'s eCheck will be cleared.","Waiting until Customer\'s eCheck will be cleared."
"We prefer PayPal (150 X 40)","We prefer PayPal (150 X 40)"
"We prefer PayPal (150 X 60)","We prefer PayPal (150 X 60)"
"Website Payments Pro","Website Payments Pro"
"Website Payments Standard","Website Payments Standard"
"Wrong Order ID (%s) specified.","Wrong Order ID (%s) specified."
"Wrong PayPal Express Checkout Token specified.","Wrong PayPal Express Checkout Token specified."
"Yes","Yes"
"Yes. Matched Address and five-didgit ZIP","Yes. Matched Address and five-didgit ZIP"
"You will be redirected to PayPal in a few seconds.","You will be redirected to PayPal in a few seconds."
"You will be redirected to PayPal website when you place an order.","You will be redirected to PayPal website when you place an order."
"Your billing address will be ignored and you will be redirected to PayPal website.","Your billing address will be ignored and you will be redirected to PayPal website."
"chargeback reimbursed","chargeback reimbursed"
"chargeback settled","chargeback settled"
"customer complaint","customer complaint"
"customer triggered a chargeback","customer triggered a chargeback"
"customer triggered money-back guarantee","customer triggered money-back guarantee"
"merchant refunded payment","merchant refunded payment"
"no reason","no reason"
"reversal of an adjustment","reversal of an adjustment"
"unknown reason","unknown reason"
